Territory,Downloads,InApp purchase,Sales/downloads
Mexico,10898,766,7.03
Brazil,5943,95,1.60
United States,5552,261,4.70
Colombia,3982,40,1.00
Guatemala,1413,22,1.56
Peru,1378,29,2.10
Germany,1335,118,8.84
United Kingdom,1074,90,8.38
France,731,10,1.37
Costa Rica,717,16,2.23
Panama,524,20,3.82
Croatia,512,9,1.76
Switzerland,503,47,9.34
El Salvador,395,12,3.04
Argentina,375,6,1.60
Canada,316,9,2.85
Honduras,261,4,1.53
Ecuador,242,2,0.83
Belgium,236,9,3.81
Portugal,219,5,2.28
Austria,215,12,5.58
Australia,117,1,0.85
"Macedonia, The Former Yugoslav Republic Of",103,1,0.97
Uruguay,102,3,2.94
Spain,102,6,5.88
Egypt,101,2,1.98
Luxembourg,69,2,2.90
Malta,69,0,0.00
Russia,57,1,1.75
Chile,56,2,3.57
Bolivia,44,0,0.00
Ireland,35,1,2.86
Mauritius,29,2,6.90
Italy,25,0,0.00
United Arab Emirates,21,2,9.52
Dominican Republic,17,1,5.88
Netherlands,14,0,0.00
Romania,13,1,7.69
Japan,13,0,0.00
Tunisia,11,0,0.00
Hong Kong,10,0,0.00
Norway,9,1,11.11
Lebanon,9,0,0.00
New Zealand,9,0,0.00
Denmark,7,0,0.00
Slovenia,7,0,0.00
China,6,0,0.00
"Korea, Republic Of",6,0,0.00
Nicaragua,6,0,0.00
Paraguay,6,0,0.00
Venezuela,6,0,0.00
Sweden,5,0,0.00
Turkey,5,0,0.00
Singapore,4,1,25.00
India,4,0,0.00
Jordan,4,0,0.00
Brunei Darussalam,3,0,0.00
Poland,3,0,0.00
Albania,2,0,0.00
Belarus,2,0,0.00
Cyprus,2,0,0.00
Czech Republic,2,0,0.00
Greece,2,0,0.00
Iceland,2,0,0.00
Malaysia,2,0,0.00
Slovakia,2,0,0.00
Vietnam,2,0,0.00
Angola,1,0,0.00
Estonia,1,0,0.00
Israel,1,0,0.00
Kuwait,1,0,0.00
Montserrat,1,0,0.00
Oman,1,0,0.00
Qatar,1,0,0.00
Saudi Arabia,1,0,0.00
Senegal,1,0,0.00
South Africa,1,0,0.00
Swaziland,1,0,0.00
Taiwan,1,0,0.00
Tajikistan,1,0,0.00
Thailand,1,0,0.00
"Virgin Islands, British",1,0,0.00
